date,value
2022-12-02,720.5
2022-12-03,1507.0
2022-12-04,1685.0
2022-12-05,648.5
2022-12-06,577.5
2022-12-07,622.5
2022-12-08,558.5
2022-12-09,697.5
2022-12-10,1139.0
2022-12-11,1101.5
2022-12-12,468.0
2022-12-13,539.0
2022-12-14,550.0
2022-12-15,508.5
2022-12-16,593.0
2022-12-17,1151.0
2022-12-18,1183.0
2022-12-19,623.0
2022-12-20,600.5
2022-12-21,527.0
2022-12-22,540.0
2022-12-23,552.5
2022-12-24,1035.5
2022-12-25,1118.5
2022-12-26,585.0
2022-12-27,645.5
2022-12-28,657.0
2022-12-29,802.0
2022-12-30,915.0
2022-12-31,417.5
2023-01-01,266.0
2023-01-02,1028.5
2023-01-03,1011.0
2023-01-04,1103.0
2023-01-05,1087.5
2023-01-06,885.5
2023-01-07,1091.5
2023-01-08,1059.5
2023-01-09,458.0
2023-01-10,443.0
2023-01-11,427.0
2023-01-12,434.5
2023-01-13,405.0
2023-01-14,803.5
2023-01-15,906.5
2023-01-16,349.0
2023-01-17,461.5
2023-01-18,348.5
2023-01-19,330.0
2023-01-20,412.5
2023-01-21,755.0
2023-01-22,806.0
2023-01-23,343.0
2023-01-24,355.5
2023-01-25,388.0
2023-01-26,335.0
2023-01-27,362.0
2023-01-28,774.5
2023-01-29,720.0
2023-01-30,317.5
2023-01-31,307.5
2023-02-01,425.5
2023-02-02,432.5
2023-02-03,473.0
2023-02-04,742.5
2023-02-05,778.0
2023-02-06,379.5
2023-02-07,322.5
2023-02-08,349.0
2023-02-09,354.5
2023-02-10,432.5
2023-02-11,843.5
2023-02-12,893.5
2023-02-13,423.5
2023-02-14,397.0
2023-02-15,352.0
2023-02-16,462.5
2023-02-17,428.0
2023-02-18,832.0
2023-02-19,775.0
2023-02-20,390.0
2023-02-21,293.5
2023-02-22,593.0
2023-02-23,923.5
2023-02-24,879.5
2023-02-25,879.5
2023-02-26,757.5
2023-02-27,440.0
2023-02-28,409.0
2023-03-01,387.5
2023-03-02,509.0
2023-03-03,511.5
2023-03-04,1062.0
2023-03-05,1249.5
2023-03-06,423.0
2023-03-07,613.0
2023-03-08,1098.0
2023-03-09,555.5
2023-03-10,592.5
2023-03-11,1072.5
2023-03-12,1199.0
2023-03-13,429.0
2023-03-14,482.5
2023-03-15,489.0
2023-03-16,505.0
2023-03-17,493.0
2023-03-18,944.5
2023-03-19,1077.0
2023-03-20,433.5
2023-03-21,481.0
2023-03-22,764.82
2023-03-23,656.46
2023-03-24,666.54
2023-03-25,631.5
2023-03-26,1057.5
2023-03-27,430.5
2023-03-28,450.5
2023-03-29,489.0
2023-03-30,470.5
2023-03-31,517.5
2023-04-01,880.5
2023-04-02,864.5
2023-04-03,430.0
2023-04-04,549.5
2023-04-05,548.0
2023-04-06,491.0
2023-04-07,609.5
2023-04-08,1072.0
2023-04-09,1192.5
2023-04-10,539.5
2023-04-11,467.5
2023-04-12,493.5
2023-04-13,499.5
2023-04-14,530.5
2023-04-15,914.5
2023-04-16,956.5
2023-04-17,534.5
2023-04-18,538.5
2023-04-19,522.5
2023-04-20,506.5
2023-04-21,747.5
2023-04-22,1081.0
2023-04-23,958.5
2023-04-24,589.0
2023-04-25,728.0
2023-04-26,453.5
2023-04-27,626.5
2023-04-28,608.5
2023-04-29,1202.0
2023-04-30,1182.5
2023-05-01,1010.0
2023-05-02,524.5
2023-05-03,484.0
2023-05-04,609.0
2023-05-05,585.5
2023-05-06,1044.0
2023-05-07,1289.5
2023-05-08,1311.0
2023-05-09,910.0
2023-05-10,493.5
2023-05-11,578.5
2023-05-12,674.0
2023-05-13,1067.5
2023-05-14,1231.5
2023-05-15,646.5
2023-05-16,767.0
2023-05-17,729.0
2023-05-18,648.0
2023-05-19,769.5
2023-05-20,1208.0
2023-05-21,1515.0
2023-05-22,691.0
2023-05-23,657.0
2023-05-24,754.5
2023-05-25,794.5
2023-05-26,810.0
2023-05-27,1376.0
2023-05-28,1286.0
2023-05-29,664.5
2023-05-30,732.5
2023-05-31,721.5
2023-06-01,709.5
2023-06-02,782.5
2023-06-03,1693.0
2023-06-04,1501.5
2023-06-05,762.0
2023-06-06,659.0
2023-06-07,814.5
2023-06-08,844.0
2023-06-09,961.0
2023-06-10,1429.0
2023-06-11,1589.5
2023-06-12,1319.5
2023-06-13,684.5
2023-06-14,720.0
2023-06-15,764.0
2023-06-16,880.5
2023-06-17,1182.0
2023-06-18,1268.5
2023-06-19,637.5
2023-06-20,667.0
2023-06-21,734.0
2023-06-22,823.0
2023-06-23,803.0
2023-06-24,964.0
2023-06-25,1180.5
2023-06-26,612.5
2023-06-27,613.5
2023-06-28,776.5
2023-06-29,415.0
2023-06-30,649.0
2023-07-01,1044.0
2023-07-02,1057.0
2023-07-03,719.5
2023-07-04,602.0
2023-07-05,725.0
2023-07-06,662.0
2023-07-07,668.0
2023-07-08,1188.0
2023-07-09,1153.0
2023-07-10,840.5
2023-07-11,777.0
2023-07-12,722.5
2023-07-13,780.0
2023-07-14,838.5
2023-07-15,1017.5
2023-07-16,1113.5
2023-07-17,702.5
2023-07-18,591.0
2023-07-19,673.0
2023-07-20,712.0
2023-07-21,697.5
2023-07-22,875.5
2023-07-23,1012.5
2023-07-24,632.0
2023-07-25,688.0
2023-07-26,663.0
2023-07-27,687.5
2023-07-28,666.5
2023-07-29,1031.5
2023-07-30,1009.0
2023-07-31,587.5
2023-08-01,610.5
2023-08-02,887.5
2023-08-03,873.0
2023-08-04,809.5
2023-08-05,1284.0
2023-08-06,1330.5
2023-08-07,736.0
2023-08-08,709.0
2023-08-09,721.5
2023-08-10,971.0
2023-08-11,886.5
2023-08-12,1515.0
2023-08-13,1502.5
2023-08-14,877.5
2023-08-15,972.0
2023-08-16,856.5
2023-08-17,832.5
2023-08-18,850.5
2023-08-19,1412.5
2023-08-20,1408.5
2023-08-21,796.5
2023-08-22,836.5
2023-08-23,964.5
2023-08-24,968.0
2023-08-25,983.0
2023-08-26,1579.0
2023-08-27,1548.5
2023-08-28,903.0
2023-08-29,1159.0
2023-08-30,1205.0
2023-08-31,1247.5
2023-09-01,782.5
2023-09-02,1087.5
2023-09-03,1108.5
2023-09-04,651.0
2023-09-05,513.0
2023-09-06,487.0
2023-09-07,520.0
2023-09-08,633.5
2023-09-09,939.5
2023-09-10,1338.0
2023-09-11,604.5
2023-09-12,491.0
2023-09-13,500.5
2023-09-14,574.0
2023-09-15,609.0
2023-09-16,1123.0
2023-09-17,1280.5
2023-09-18,535.0
2023-09-19,478.0
2023-09-20,572.0
2023-09-21,521.5
2023-09-22,576.0
2023-09-23,1252.0
2023-09-24,1050.5
2023-09-25,430.5
2023-09-26,432.5
2023-09-27,528.5
2023-09-28,554.0
2023-09-29,498.0
2023-09-30,1042.0
2023-10-01,1091.0
2023-10-02,477.0
2023-10-03,546.5
2023-10-04,614.0
2023-10-05,641.5
2023-10-06,668.5
2023-10-07,1076.5
2023-10-08,1315.0
2023-10-09,711.0
2023-10-10,683.0
2023-10-11,706.5
2023-10-12,686.5
2023-10-13,702.5
2023-10-14,1258.5
2023-10-15,1418.0
2023-10-16,511.0
2023-10-17,604.0
2023-10-18,611.5
2023-10-19,619.5
2023-10-20,668.5
2023-10-21,1119.5
2023-10-22,1166.0
2023-10-23,448.5
2023-10-24,533.5
2023-10-25,492.5
2023-10-26,488.0
2023-10-27,585.5
2023-10-28,1142.0
2023-10-29,1042.0
2023-10-30,528.5
2023-10-31,503.0
2023-11-01,619.0
2023-11-02,584.5
2023-11-03,867.0
2023-11-04,1147.5
2023-11-05,1262.0
2023-11-06,1169.0
2023-11-07,455.0
2023-11-08,472.5
2023-11-09,591.5
2023-11-10,736.5
2023-11-11,1575.0
2023-11-12,1641.5
2023-11-13,623.5
2023-11-14,668.0
2023-11-15,721.5
2023-11-16,713.5
2023-11-17,765.0
2023-11-18,1488.5
2023-11-19,1691.5
2023-11-20,599.5
2023-11-21,879.0
2023-11-22,758.0
2023-11-23,930.5
2023-11-24,847.0
2023-11-25,1796.0
2023-11-26,1565.0
2023-11-27,606.5
2023-11-28,628.0
2023-11-29,515.5
2023-11-30,637.0
2023-12-01,560.0
2023-12-02,1187.0
2023-12-03,1263.5
2023-12-04,507.5
2023-12-05,614.5
2023-12-06,625.5
2023-12-07,549.0
2023-12-08,607.0
2023-12-09,1403.5
2023-12-10,1560.0
2023-12-11,523.0
2023-12-12,605.0
2023-12-13,539.5
2023-12-14,559.0
2023-12-15,599.0
2023-12-16,1335.0
2023-12-17,1502.5
2023-12-18,607.0
2023-12-19,492.5
2023-12-20,493.5
2023-12-21,516.5
2023-12-22,532.5
2023-12-23,1056.0
2023-12-24,1123.5
2023-12-25,473.5
2023-12-26,492.0
2023-12-27,589.0
2023-12-28,614.5
2023-12-29,706.0
2023-12-30,818.0
2023-12-31,406.5
2024-01-01,351.0
2024-01-02,954.5
2024-01-03,1048.0
2024-01-04,981.5
2024-01-05,811.5
2024-01-06,683.5
2024-01-07,811.0
2024-01-08,728.5
2024-01-09,393.5
2024-01-10,369.0
2024-01-11,371.0
2024-01-12,391.5
