value,date
315.0,2023-08-29
495.0,2023-08-30
372.0,2023-08-31
272.0,2023-09-01
920.0,2023-09-02
1296.0,2023-09-03
285.0,2023-09-04
273.0,2023-09-05
265.0,2023-09-06
251.0,2023-09-07
310.0,2023-09-08
1078.0,2023-09-09
1043.0,2023-09-10
281.0,2023-09-11
354.0,2023-09-12
275.0,2023-09-13
263.0,2023-09-14
331.0,2023-09-15
1145.0,2023-09-16
1092.0,2023-09-17
306.0,2023-09-18
251.0,2023-09-19
321.0,2023-09-20
228.0,2023-09-21
342.0,2023-09-22
944.0,2023-09-23
844.0,2023-09-24
202.0,2023-09-25
255.0,2023-09-26
274.0,2023-09-27
240.0,2023-09-28
231.0,2023-09-29
1032.0,2023-09-30
954.0,2023-10-01
257.0,2023-10-02
278.0,2023-10-03
207.0,2023-10-04
210.0,2023-10-05
230.0,2023-10-06
823.0,2023-10-07
997.0,2023-10-08
241.0,2023-10-09
241.0,2023-10-10
340.0,2023-10-11
268.0,2023-10-12
296.0,2023-10-13
954.0,2023-10-14
953.0,2023-10-15
146.0,2023-10-16
215.0,2023-10-17
218.0,2023-10-18
200.0,2023-10-19
268.0,2023-10-20
1067.0,2023-10-21
908.0,2023-10-22
172.0,2023-10-23
188.0,2023-10-24
236.0,2023-10-25
191.0,2023-10-26
207.0,2023-10-27
828.0,2023-10-28
919.0,2023-10-29
176.0,2023-10-30
297.0,2023-10-31
267.0,2023-11-01
205.0,2023-11-02
282.0,2023-11-03
1027.0,2023-11-04
997.0,2023-11-05
697.0,2023-11-06
152.0,2023-11-07
186.0,2023-11-08
212.0,2023-11-09
263.0,2023-11-10
996.0,2023-11-11
633.0,2023-11-12
188.0,2023-11-13
165.0,2023-11-14
174.0,2023-11-15
190.0,2023-11-16
237.0,2023-11-17
965.0,2023-11-18
951.0,2023-11-19
184.0,2023-11-20
216.0,2023-11-21
194.0,2023-11-22
218.0,2023-11-23
409.0,2023-11-24
1154.0,2023-11-25
955.0,2023-11-26
136.0,2023-11-27
159.0,2023-11-28
166.0,2023-11-29
152.0,2023-11-30
196.0,2023-12-01
692.0,2023-12-02
411.0,2023-12-03
128.0,2023-12-04
153.0,2023-12-05
162.0,2023-12-06
160.0,2023-12-07
197.0,2023-12-08
548.0,2023-12-09
582.0,2023-12-10
132.0,2023-12-11
138.0,2023-12-12
103.0,2023-12-13
124.0,2023-12-14
125.0,2023-12-15
598.0,2023-12-16
450.0,2023-12-17
125.0,2023-12-18
